Name,Position,Age,Height,Weight,Salary,League
Andrew Harrison,G,23,78,213,"$1,312,611.00 ",NBA
Josh Hart,SG,22,77,205,"$1,394,520.00 ",NBA
Spencer Hawes,F/C,29,85,245,"$6,061,175.00 ",NBA
Gordon Hayward,G/F,27,80,226,"$29,727,900.00 ",NBA
Gerald Henderson,G/F,30,77,215,"$9,000,000.00 ",NBA
Terry Henderson,SG,23,77,190,"$815,615.00 ",NBA
John Henson,F/C,27,83,229,"$11,422,536.00 ",NBA
Mario Hezonja,G/F,22,80,218,"$3,909,840.00 ",NBA
Buddy Hield,SG,24,76,214,"$3,675,480.00 ",NBA
Nene Hilario,F/C,35,83,250,"$3,477,600.00 ",NBA
George Hill,G,31,75,188,"$20,000,000.00 ",NBA
Jordan Hill,F/C,30,82,240,"$4,000,000.00 ",NBA
Solomon Hill,G/F,26,79,225,"$12,236,535.00 ",NBA
Jrue Holiday,G,27,76,205,"$25,686,667.00 ",NBA
Justin Holiday,G/F,28,78,185,"$4,615,385.00 ",NBA
Jonathan Holmes,PF,25,80,240,"$543,471.00 ",NBA
Rodney Hood,G/F,25,80,206,"$2,386,864.00 ",NBA
Al Horford,F/C,31,82,245,"$27,734,406.00 ",NBA
Dwight Howard,F/C,32,83,265,"$23,500,000.00 ",NBA
Serge Ibaka,F/C,28,82,235,"$20,061,729.00 ",NBA
Andre Iguodala,G/F,33,78,215,"$14,814,815.00 ",NBA
Ersan Ilyasova,F,30,82,235,"$6,000,000.00 ",NBA
Joe Ingles,G/F,30,80,226,"$14,136,364.00 ",NBA
Brandon Ingram,G/F,20,81,190,"$5,519,400.00 ",NBA
Kyrie Irving,G,25,75,193,"$18,868,626.00 ",NBA
Jonathan Isaac,PF,20,82,210,"$4,186,320.00 ",NBA
Josh Jackson,G/F,20,80,200,"$5,090,040.00 ",NBA
Justin Jackson,SF,22,80,210,"$2,365,560.00 ",NBA
LeBron James,F,33,80,250,"$33,285,709.00 ",NBA
Al Jefferson,F/C,32,82,289,"$9,769,821.00 ",NBA
Richard Jefferson,G/F,37,79,233,"$1,454,756.00 ",NBA
John Jenkins,G/F,26,76,205,"$1,050,961.00 ",NBA
Jonas Jerebko,F,30,82,231,"$4,000,000.00 ",NBA
Amir Johnson,F/C,30,81,240,"$11,000,000.00 ",NBA
Brice Johnson,PF,23,82,230,"$1,331,160.00 ",NBA
Chris Johnson,G/F,27,78,201,"$1,050,961.00 ",NBA
James Johnson,F,30,80,250,"$13,734,000.00 ",NBA
Joe Johnson,F,36,79,240,"$10,505,000.00 ",NBA
Stanley Johnson,G/F,21,79,245,"$3,097,800.00 ",NBA
Tyler Johnson,G,25,76,190,"$5,881,260.00 ",NBA
Wesley Johnson,G/F,30,79,215,"$5,882,260.00 ",NBA
Nikola Jokic,F/C,22,82,250,"$1,471,382.00 ",NBA
DeAndre Jordan,C,29,83,265,"$22,642,350.00 ",NBA
Cory Joseph,PG,26,75,193,"$7,630,000.00 ",NBA
Frank Kaminsky,F/C,24,84,242,"$2,847,600.00 ",NBA
Luke Kennard,SG,21,77,200,"$2,759,280.00 ",NBA
Michael Kidd-Gilchrist,SF,24,79,232,"$13,000,000.00 ",NBA
Sean Kilpatrick,G,27,76,212,"$1,524,305.00 ",NBA
Brandon Knight,G,26,75,195,"$13,618,750.00 ",NBA
Furkan Korkmaz,SG,20,79,185,"$1,465,920.00 ",NBA
Kyle Korver,G/F,36,79,212,"$7,000,000.00 ",NBA
Kosta Koufos,F/C,28,84,265,"$8,393,000.00 ",NBA
Kyle Kuzma,F,22,81,221,"$1,423,560.00 ",NBA
